demand_id,status,segment,facility_name,owner_operator,location,scale,project_stage,est_buy_window,est_completion_date,signal_source,source_url,first_seen,last_reviewed,est_value,next_action,notes
demand-radar-pilot-b-independent-texas-hotel-maine-b-boutique-hotel-b-opens-with-no-on-site-staff-me-tx,no-fit,hotel,Maine <b>boutique hotel</b> opens with no on-site staff,,"ME, TX",,,,,Demand Radar: Pilot B Independent Texas,https://usa.boutiquehotelier.com/boutique-hotel-maine-technologu/,2026-07-23,2026-07-23,,No-fit archived,"facility (hotel): hotel, hospitality; facility named but no project trigger (construction/renovation/opening); Operator no-fit 2026-07-23: RSS Demand Radar false positive/out-of-region or non-demand article; no Texas/Houston mattress route-to-market to pursue."
demand-radar-pilot-b-independent-texas-hotel-sbe-expands-hq-hotels-portfolio-with-palm-springs-b-boutique-hotel-b-yahoo-finance-tx,no-fit,hotel,SBE expands HQ Hotels portfolio with Palm Springs <b>boutique hotel</b> - Yahoo Finance,,TX,143 room,renovation,,,Demand Radar: Pilot B Independent Texas,https://finance.yahoo.com/real-estate/articles/sbe-expands-hq-hotels-portfolio-090916778.html,2026-07-23,2026-07-23,,No-fit archived,facility (hotel): hotel; project trigger: renovation -> renovation; scale: 143 room; Operator no-fit 2026-07-23: RSS Demand Radar false positive/out-of-region or non-demand article; no Texas/Houston mattress route-to-market to pursue.
demand-radar-pilot-a-pip-reflag-houston-hotel-st-pete-beach-s-sirata-beach-resort-reopens-as-hilton-property-after-renovation-tampa,no-fit,hotel,St. Pete Beach's Sirata Beach Resort reopens as Hilton property after renovation - Tampa ...,,,,renovation,,,Demand Radar: Pilot A PIP-Reflag Houston,https://www.bizjournals.com/tampabay/news/2026/08/05/sirata-beach-resort-hilton-renovation.html,2026-08-06,2026-08-07,,No outreach. Renovation complete; out of region.,"facility (hotel): hotel, resort, hilton; project trigger: renovation, pip, reflag, rebrand, proposed -> renovation; Triage 2026-08-07: NO-FIT. Sirata Beach Resort (St. Pete Beach FL) REOPENED as Hilton - renovation done, FF&E installed, buy window closed. Out of TX/OK/LA/MS/AR/NM."
demand-radar-pilot-a-pip-reflag-houston-hotel-southwest-d-c-luxury-hotel-gets-third-name-change-in-four-years-as-salamander-exits,no-fit,hotel,Southwest D.C. luxury hotel gets third name change in four years as Salamander exits,,,,renovation,,,Demand Radar: Pilot A PIP-Reflag Houston,https://www.bizjournals.com/washington/news/2026/08/05/southwest-dc-hotel-rebrand-salamander-marriott.html,2026-08-06,2026-08-07,,No outreach. Out of region.,"facility (hotel): hotel, marriott; project trigger: pip, reflag, rebrand -> renovation; Triage 2026-08-07: NO-FIT. SW D.C. luxury hotel rebrand (Salamander exits) - genuine PIP-class signal but Washington D.C. is out of TX/OK/LA/MS/AR/NM service geography."
demand-radar-pilot-a-pip-reflag-dallas-fw-hotel-le-1-100-new-openings-forecast-for-china-in-2026-hotelbusiness-com,no-fit,hotel,"LE: 1,100+ new openings forecast for China in 2026 - hotelbusiness.com",,,,renovation,2026-01,2026,Demand Radar: Pilot A PIP-Reflag Dallas-FW,https://hotelbusiness.com/le-1100-new-openings-forecast-for-china-in-2026/,2026-08-06,2026-08-07,,"No outreach. Market-forecast article, no property.","facility (hotel): hotel; project trigger: pip, reflag -> renovation; completion: 2026; Triage 2026-08-07: NO-FIT. Lodging Econometrics forecast of hotel openings in CHINA - industry statistic, no named property, no U.S. nexus. Parsed buy_window 2026-01 is a parsing artifact."
demand-radar-pilot-a-pip-reflag-texas-hotel-why-membership-out-earns-lodging-at-gravity-haus-hotels-hospitality-net,no-fit,hotel,Why membership out-earns lodging at Gravity Haus hotels - Hospitality Net,,,,renovation,,,Demand Radar: Pilot A PIP-Reflag Texas,https://www.hospitalitynet.org/opinion/4133825/why-membership-out-earns-lodging-at-gravity-haus-hotels,2026-08-06,2026-08-07,,"No outreach. Opinion piece, no project.","facility (hotel): hospitality; project trigger: pip, reflag, rebrand -> renovation; Triage 2026-08-07: NO-FIT. Hospitality Net OPINION column about Gravity Haus membership economics - no property, no renovation, no buy window."
demand-radar-pilot-b-independent-houston-hotel-riu-palace-aruba-resort-reopens-after-a-complete-renovation-in-palm-beach,no-fit,hotel,Riu Palace Aruba Resort Reopens After a Complete Renovation in Palm Beach,,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://larevuedeshotels.com/en/riu-palace-aruba-reopening-renovation-2026,2026-08-06,2026-08-07,,No outreach. Renovation complete; out of country.,"facility (hotel): hotel, resort; project trigger: renovation -> renovation; Triage 2026-08-07: NO-FIT. Riu Palace ARUBA reopened after complete renovation - buy window closed and property is outside the U.S. entirely."
demand-radar-pilot-b-independent-houston-hotel-ivy-hospitality-completes-renovation-of-hilton-garden-inn-cincinnati-west-chester-oh,no-fit,hotel,Ivy Hospitality Completes Renovation of Hilton Garden Inn Cincinnati/West Chester,,OH,,renovation,2026-01,2026,Demand Radar: Pilot B Independent Houston,https://www.hotel-online.com/news/ivy-hospitality-completes-renovation-of-hilton-garden-inn-cincinnatiwest-chester,2026-08-06,2026-08-07,,No outreach. Renovation complete; out of region.,"facility (hotel): hotel, inn, hospitality, hilton; project trigger: renovation -> renovation; completion: 2026; out-of-region: OH; Triage 2026-08-07: NO-FIT. Hilton Garden Inn Cincinnati/West Chester OH renovation COMPLETED - FF&E installed, buy window closed, out of region. Parsed buy_window 2026-01 is stale."
demand-radar-pilot-b-independent-houston-hotel-boutique-hotel-mendocino-cove-now-open-on-northern-california-s-coastline-ca,no-fit,hotel,Boutique Hotel Mendocino Cove Now Open on Northern California's Coastline,,CA,,delivered,,,Demand Radar: Pilot B Independent Houston,https://www.hospitalitynet.org/announcement/41014895/boutique-hotel-mendocino-cove-now-open-on-northern-californias-coastline,2026-08-06,2026-08-07,,No outreach. Duplicate; already no-fit 2026-08-03.,"facility (hotel): hotel, resort; project trigger: to open, opening, set to open, now open -> delivered; out-of-region: CA; Triage 2026-08-07: NO-FIT. 'Now open' follow-up story for Mendocino Cove CA - same property already closed no-fit on 2026-08-03 (opening=FF&E installed; out of region)."
demand-radar-pilot-b-independent-houston-hotel-pal-cio-de-tavira-an-18th-century-palace-turned-boutique-hotel-celebrates-its-first,no-fit,hotel,"Palácio de Tavira, an 18th-century palace turned boutique hotel, celebrates its first ...",,,36 room,,,,Demand Radar: Pilot B Independent Houston,https://larevuedeshotels.com/en/palacio-de-tavira-boutique-hotel-algarve-en,2026-08-06,2026-08-07,,No outreach. Out of country.,"facility (hotel): hotel; facility named but no project trigger (construction/renovation/opening); Triage 2026-08-07: NO-FIT. Palacio de Tavira (Algarve, PORTUGAL) first-anniversary piece - operating hotel abroad, no project trigger, no U.S. nexus."
demand-radar-pilot-b-independent-houston-hotel-a-new-hotel-is-being-built-on-the-former-site-of-a-beloved-jasper-inn-daily-hive,no-fit,hotel,A new hotel is being built on the former site of a beloved Jasper inn | Daily Hive,,,,renovation,2024-01,2024,Demand Radar: Pilot B Independent Houston,https://dailyhive.com/calgary/the-robson-jasper-hotel,2026-08-06,2026-08-07,,No outreach. Out of country.,"facility (hotel): hotel, inn; project trigger: renovation -> renovation; completion: 2024; Triage 2026-08-07: NO-FIT. New hotel on former Jasper inn site (Alberta, CANADA) - out of country. Parsed buy_window 2024-01 is a parsing artifact (story references the old inn's history)."
demand-radar-pilot-b-independent-houston-hotel-peratata-peloponnese-western-greece-and-ionian-28100-other-for-sale-realestate,no-fit,hotel,"Peratata, Peloponnese, Western Greece and Ionian 28100 Other for Sale - Realestate",,,,renovation,2017-01,2017,Demand Radar: Pilot B Independent Houston,https://www.realestate.com.au/international/gr/peratata-peloponnese-western-greece-and-ionian-310119535123/,2026-08-10,2026-08-10,,No outreach. Foreign for-sale listing; buy window 9 years past.,"facility (hotel): hotel; project trigger: renovation -> renovation; completion: 2017 | Triage 2026-08-10: NO-FIT. realestate.com.au FOR-SALE property listing in Peratata, Greece - a real-estate ad, not a construction/renovation project signal; keyword renovation false positive. est_buy_window 2017-01 is nine years past; out of country. 08-10 RSS batch is 0-for-1 - more evidence for the permit open-data adapter over Google Alerts parsing (docs/demand_radar_next_steps.md)."
demand-radar-pilot-b-independent-texas-hotel-the-driskill-appoints-new-director-sales-marketing-events-safari-india,no-fit,hotel,"The Driskill Appoints New Director- Sales, Marketing & Events - Safari India",,,,renovation,,,Demand Radar: Pilot B Independent Texas,https://safariindia.com/the-driskill-director-sales-marketing-events/,2026-08-17,2026-08-17,,"No outreach. Personnel announcement, not a renovation signal.","facility (hotel): hotel, suites; project trigger: renovation -> renovation; Triage 2026-08-17: NO-FIT. safariindia.com re-post of a Driskill (Austin TX) PERSONNEL announcement - a new Director of Sales, Marketing & Events. A staffing appointment is not a capex or FF&E signal; the ""renovation"" trigger fired on boilerplate property copy, same false-positive shape as the Mysore and TRYP Den Haag rows. Explicitly does NOT second-source the open Driskill review row (demand-radar-pilot-b-independent-texas-hotel-austin-hospitality-s-new-era-as-travis-breen-ignites-the-driskill-s-140th-anniversary-growth), which still needs an ABJ / Austin American-Statesman / Hyatt-newsroom confirmation of a DATED guest-room renovation with a room count - this is a third aggregator repeating the anniversary-growth framing, not a primary source. Driskill remains one reviewing row, not two."
demand-radar-pilot-a-pip-reflag-houston-hotel-le-global-hotel-construction-pipeline-reaches-record-high-project-count,no-fit,hotel,LE: Global hotel construction pipeline reaches record high project count,,,,renovation,,,Demand Radar: Pilot A PIP-Reflag Houston,https://www.hotelmanagement.net/construction/le-global-hotel-construction-pipeline-reaches-record-high-project-count,2026-08-20,2026-08-24,,,"facility (hotel): hotel; project trigger: pip, reflag -> renovation; Operator triage 2026-08-24: REJECT (bucket=reject) - route_to_market=none. Syndicated coverage of the SAME Lodging Econometrics Q2-2026 global construction pipeline report; four outlets (hotelmanagement.net, hotelbusiness.com, hotelnewsresource.com, hotel-online.com) tripped four different city-scoped alerts on one press release. An industry statistic with no property, owner, room count or buy window - fails 'no findable route'. The city in the demand_id is the feed's label, not the story's location (issue #126)."
demand-radar-pilot-a-pip-reflag-dallas-fw-hotel-le-global-hotel-pipeline-reaches-record-high-project-count-hotelbusiness-com,no-fit,hotel,LE: Global hotel pipeline reaches record-high project count - hotelbusiness.com,,,,renovation,,,Demand Radar: Pilot A PIP-Reflag Dallas-FW,https://hotelbusiness.com/le-global-hotel-pipeline-reaches-record-high-project-count/,2026-08-20,2026-08-24,,,"facility (hotel): hotel; project trigger: pip, reflag -> renovation; Operator triage 2026-08-24: REJECT (bucket=reject) - route_to_market=none. Syndicated coverage of the SAME Lodging Econometrics Q2-2026 global construction pipeline report; four outlets (hotelmanagement.net, hotelbusiness.com, hotelnewsresource.com, hotel-online.com) tripped four different city-scoped alerts on one press release. An industry statistic with no property, owner, room count or buy window - fails 'no findable route'. The city in the demand_id is the feed's label, not the story's location (issue #126)."
demand-radar-pilot-a-pip-reflag-dallas-fw-hotel-united-states-china-lead-global-hotel-pipeline-as-pipeline-reaches-record-high,no-fit,hotel,"United States, China Lead Global Hotel Pipeline as Pipeline Reaches Record High",,,,renovation,,,Demand Radar: Pilot A PIP-Reflag Dallas-FW,https://www.hotelnewsresource.com/article142575.html,2026-08-20,2026-08-24,,,"facility (hotel): hotel; project trigger: pip, reflag -> renovation; Operator triage 2026-08-24: REJECT (bucket=reject) - route_to_market=none. Syndicated coverage of the SAME Lodging Econometrics Q2-2026 global construction pipeline report; four outlets (hotelmanagement.net, hotelbusiness.com, hotelnewsresource.com, hotel-online.com) tripped four different city-scoped alerts on one press release. An industry statistic with no property, owner, room count or buy window - fails 'no findable route'. The city in the demand_id is the feed's label, not the story's location (issue #126)."
demand-radar-pilot-a-pip-reflag-austin-hotel-the-global-hotel-construction-pipeline-reaches-a-record-high-project-count-as-le-debuts,no-fit,hotel,The Global Hotel Construction Pipeline Reaches a Record High Project Count as LE Debuts ...,,,,renovation,,,Demand Radar: Pilot A PIP-Reflag Austin,https://www.hotel-online.com/news/the-global-hotel-construction-pipeline-reaches-a-record-high-project-count-as-le-debuts-2028-new-hotel-openings-forecast-at-q2-2026-close,2026-08-20,2026-08-24,,,"facility (hotel): hotel; project trigger: pip, reflag -> renovation; Operator triage 2026-08-24: REJECT (bucket=reject) - route_to_market=none. Syndicated coverage of the SAME Lodging Econometrics Q2-2026 global construction pipeline report; four outlets (hotelmanagement.net, hotelbusiness.com, hotelnewsresource.com, hotel-online.com) tripped four different city-scoped alerts on one press release. An industry statistic with no property, owner, room count or buy window - fails 'no findable route'. The city in the demand_id is the feed's label, not the story's location (issue #126)."
demand-radar-pilot-a-pip-reflag-austin-hotel-intercontinental-tahiti-resort-spa-unveils-renovated-premium-rooms-and-suites,no-fit,hotel,Intercontinental Tahiti Resort & Spa Unveils Renovated Premium Rooms and Suites,,,,renovation,,,Demand Radar: Pilot A PIP-Reflag Austin,https://www.hotel-online.com/news/intercontinental-tahiti-resort-spa-unveils-renovated-premium-rooms-and-suites,2026-08-20,2026-08-24,,,"facility (hotel): hotel, resort, suites, hospitality; project trigger: renovation, pip, reflag -> renovation; Operator triage 2026-08-24: REJECT (bucket=reject) - too late + out-of-region + too locked. InterContinental Tahiti Resort & Spa 'unveils renovated' rooms: the FF&E is already installed, the property is in French Polynesia, and an IHG-flagged resort buys to a brand-approved vendor program. Tagged Austin only by feed label (issue #126)."
demand-radar-pilot-b-independent-houston-hotel-the-plaza-seoul-to-undergo-first-full-renovation-in-50-years-targeting-seven-star-status,no-fit,hotel,"The Plaza Seoul to undergo first full renovation in 50 years, targeting seven-star status",,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://mbiz.heraldcorp.com/article/10844719,2026-08-20,2026-08-24,,,facility (hotel): hotel; project trigger: renovation -> renovation; Operator triage 2026-08-24: REJECT (bucket=reject) - out of geography. The Plaza Seoul (South Korea) full renovation; no US route to the buy. Tagged Houston only by feed label (issue #126).
demand-radar-pilot-b-independent-houston-hotel-montego-bay-jamaica-is-getting-a-reimagined-adults-only-all-inclusive-with-295-suites,no-fit,hotel,"Montego Bay, Jamaica Is Getting a Reimagined Adults-Only All-Inclusive With 295 Suites ...",,,295 suites,renovation,,,Demand Radar: Pilot B Independent Houston,https://www.caribjournal.com/2026/08/23/montego-bay-jamaica-is-getting-a-reimagined-adults-only-all-inclusive-with-295-suites-swim-out-rooms-and-toes-in-the-sand-pools/,2026-08-24,2026-08-24,,,"facility (hotel): suites; project trigger: renovation -> renovation; scale: 295 suites; Operator triage 2026-08-24: REJECT (bucket=reject) - out of geography. 295-suite adults-only all-inclusive conversion in Montego Bay, Jamaica. Room count is real but the buy is Caribbean resort FF&E, no US entry point. Tagged Houston only by feed label (issue #126)."
demand-radar-pilot-b-independent-houston-hotel-livaway-suites-breaks-ground-for-new-property-in-alabama-hotel-management-network-al,no-fit,hotel,LivAway Suites breaks ground for new property in Alabama - Hotel Management Network,,AL,,under-construction,,,Demand Radar: Pilot B Independent Houston,https://www.hotelmanagement-network.com/news/livaway-suites-breaks-ground-for-new-property-in-alabama/,2026-08-20,2026-08-24,,,"facility (hotel): hotel, suites, extended stay; project trigger: breaks ground -> under-construction; out-of-region: AL; Operator triage 2026-08-24: MARKET-INTEL, no outreach (bucket=market-intel; route_to_market=channel; route=brand-vendor). LivAway Suites broke ground on a single Alabama property - out of region and brand-standard, so the property itself is unwinnable. Worth recording as a BRAND hook, not a property: LivAway is a fast-scaling purpose-built extended-stay brand whose prototype rooms are bought to a brand FF&E program, so the only viable route is the brand's approved-vendor list, not the developer. Revisit only if a brand-program channel play is opened."
demand-radar-pilot-a-pip-reflag-austin-hotel-developer-tweaks-plans-for-hotel-conversion-at-9111-wilshire-blvd-in-beverly-hills,no-fit,hotel,Developer tweaks plans for hotel conversion at 9111 Wilshire Blvd. in Beverly Hills,,,,renovation,,,Demand Radar: Pilot A PIP-Reflag Austin,https://la.urbanize.city/post/developer-tweaks-plans-hotel-conversion-9111-wilshire-blvd-beverly-hills,2026-08-27,2026-08-31,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: pip, reflag -> renovation; 2026-08-31: out-of-region (Beverly Hills CA); plan revision, no TX nexus."
demand-radar-pilot-a-pip-reflag-austin-hotel-downtown-orlando-staple-grand-bohemian-hotel-to-rebrand-after-25-years,no-fit,hotel,Downtown Orlando staple Grand Bohemian hotel to rebrand after 25 years,,,,renovation,2024-01,2024,Demand Radar: Pilot A PIP-Reflag Austin,https://www.bizjournals.com/orlando/news/2026/08/25/grand-bohemian-downtown-hotel-rebrand-beauden.html,2026-08-27,2026-08-31,,WATCH: re-check near buy-window 2024-01,"facility (hotel): hotel; project trigger: pip, reflag, rebrand -> renovation; completion: 2024; 2026-08-31: out-of-region (Orlando FL); est_buy_window '2024-01' is a mis-parse of 'after 25 years'."
demand-radar-pilot-a-pip-reflag-austin-hotel-when-can-you-book-motorcity-casino-hotel-renovated-rooms-deep-arrival,no-fit,hotel,When Can You Book MotorCity Casino Hotel Renovated Rooms? - Deep Arrival,,,,renovation,,,Demand Radar: Pilot A PIP-Reflag Austin,https://deeparrival.com/news/motorcity-casino-hotel-renovated-rooms-august-2026/,2026-08-27,2026-08-31,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: renovation, pip, reflag -> renovation; 2026-08-31: out-of-region (Detroit MI); renovation already complete - signal is past."
demand-radar-pilot-a-pip-reflag-san-antonio-hotel-10-historic-hotels-in-the-u-s-with-fascinating-former-lives-tx,no-fit,hotel,10 historic hotels in the U.S. with fascinating former lives,,TX,,renovation,,,Demand Radar: Pilot A PIP-Reflag San Antonio,https://www.timeout.com/usa/hotels/historic-hotels-with-fascinating-former-lives,2026-08-27,2026-08-31,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: pip, reflag -> renovation; 2026-08-31: editorial listicle, no project; 'TX' is a feed-stamp artifact (issue #126)."
demand-radar-pilot-a-pip-reflag-san-antonio-hotel-hei-completes-the-westin-minneapolis-guestroom-renovation-hotelbusiness-com,no-fit,hotel,HEI completes The Westin Minneapolis guestroom renovation - hotelbusiness.com,,,,renovation,,,Demand Radar: Pilot A PIP-Reflag San Antonio,https://hotelbusiness.com/hei-completes-the-westin-minneapolis-guestroom-renovation/,2026-08-27,2026-08-31,,REVIEW: size & locate,"facility (hotel): hotel, suites; project trigger: renovation, pip, reflag -> renovation; 2026-08-31: out-of-region (Minneapolis MN); renovation completed - signal is past."
demand-radar-pilot-a-pip-reflag-san-antonio-hotel-ahla-foundation-names-jagruti-panwala-recipient-of-the-2026-peggy-berg-castell-award,no-fit,hotel,AHLA Foundation Names Jagruti Panwala Recipient of the 2026 Peggy Berg Castell Award,,,,renovation,2026-01,2026,Demand Radar: Pilot A PIP-Reflag San Antonio,https://lodgingmagazine.com/ahla-foundation-names-jagruti-panwala-recipient-of-the-2026-peggy-berg-castell-award/,2026-08-27,2026-08-31,,WATCH: re-check near buy-window 2026-01,"facility (hotel): hotel, resort, hospitality; project trigger: renovation, pip, reflag -> renovation; completion: 2026; 2026-08-31: non-demand - industry award announcement."
demand-radar-pilot-b-independent-houston-hotel-5-new-hotels-for-your-late-summer-getaway-the-new-york-times-ny,no-fit,hotel,5 New Hotels for Your Late Summer Getaway - The New York Times,,NY,,renovation,,,Demand Radar: Pilot B Independent Houston,https://www.nytimes.com/2026/08/27/travel/summer-new-hotels.html,2026-08-27,2026-08-31,,REVIEW: size & locate,facility (hotel): hotel; project trigger: renovation -> renovation; out-of-region: NY; 2026-08-31: editorial listicle; out-of-region (NY).
demand-radar-pilot-b-independent-houston-hotel-st-enodoc-in-cornwall-reopens-after-10-month-renovation-boutique-hotel-news,no-fit,hotel,St Enodoc in Cornwall reopens after 10-month renovation - Boutique Hotel News,,,,renovation,2026-01,2026,Demand Radar: Pilot B Independent Houston,https://boutiquehotelnews.com/news/hotel/st-enodoc-cornwall-reopens/,2026-08-27,2026-08-31,,WATCH: re-check near buy-window 2026-01,facility (hotel): hotel; project trigger: renovation -> renovation; completion: 2026; 2026-08-31: out-of-country (Cornwall UK); renovation complete.
demand-radar-pilot-b-independent-houston-hotel-extended-stay-hotel-with-107-units-set-to-open-in-central-n-j,no-fit,hotel,Extended-stay hotel with 107 units set to open in Central N.J.,,,107 units,opening,,,Demand Radar: Pilot B Independent Houston,https://www.nj.com/news/2026/08/extended-stay-hotel-with-107-units-set-to-open-in-central-nj.html,2026-08-27,2026-08-31,,REVIEW: size & locate,"facility (hotel): hotel, extended stay; project trigger: to open, set to open -> opening; scale: 107 units; 2026-08-31: out-of-region (NJ); opening imminent, FF&E already procured."
demand-radar-pilot-b-independent-houston-hotel-the-ozarker-lodge-selects-travel-outlook-to-enhance-guest-communications-and-drive,no-fit,hotel,The Ozarker Lodge Selects Travel Outlook to Enhance Guest Communications and Drive ...,,,225 room,renovation,2026-01,2026,Demand Radar: Pilot B Independent Houston,https://www.hotel-online.com/news/the-ozarker-lodge-selects-travel-outlook-to-enhance-guest-communications-and-drive-reservation-performance,2026-08-27,2026-08-31,,WATCH: re-check near buy-window 2026-01,"facility (hotel): hotel; project trigger: renovation -> renovation; scale: 225 room; completion: 2026; 2026-08-31: out-of-region (Branson MO); vendor PR about a reservations call center, non-demand."
